NAME,TYPE,TEAM,TEAM_ID,SITE_ID,annual_mean_temperature,diurnal_temperature_range,temperature_seasonality,annual_precipitation,precipitation_seasonality,KG_climate_classification,human_footprint_index,human_influence_index,population_density,night_light,esa_worldcover_50,esa_worldcover_500,elevation
ATV,madagascar,Madagascar,181,989,18.27,7.5,2.46,2059,71.6,10,3,10,0.053,1.2874,10,10,1011
MMZ,madagascar,Madagascar,181,990,17.47,7,2.43,2578,61.7,10,8.3,20.5,0.02,0,10,10,1121
BTP,madagascar,Madagascar,181,991,21.49,6.18,2.3,3128.9,45.2,1,7.1,15.3,0,0,10,10,429
ALV,madagascar,Madagascar,181,992,23.79,2.33,1.75,3910,37.9,1,10.6,24.9,0.158,0,10,10,47
MNN1,madagascar_hierarchical,Madagascar,181,993,22.06,3.74,2.06,4104.6,36,1,4,16.5,0,0,10,10,346
MNN2,madagascar_hierarchical,Madagascar,181,994,21.91,3.73,2.06,4177,36.2,1,4,18,0,0,10,10,395
MNN3,madagascar_hierarchical,Madagascar,181,995,23.12,3.19,1.96,4039.5,36,1,4,18,0,0,10,10,176
MNN4,madagascar_hierarchical,Madagascar,181,996,22.26,3.2,2.01,4049.3,35.7,1,4,18,0,0,10,10,344
MNN5,madagascar_hierarchical,Madagascar,181,997,22.25,3.25,2.02,4048.9,35.6,1,4,18,0,0,10,10,369
MNN6,madagascar_hierarchical,Madagascar,181,998,22.27,3.25,2.02,4044.2,35.7,1,4,18,0,0,10,10,366
MNN7,madagascar_hierarchical,Madagascar,181,999,22.29,3.2,2.01,4044,35.7,1,4,18,0,0,10,10,331
RNF,madagascar,Madagascar,181,1000,18.29,7.39,2.51,2262.4,64.7,10,13,18,8.295,0,10,10,947
ISL,madagascar,Madagascar,181,1001,20.51,11.1,2.53,1071.5,101.1,15,4.7,8.1,0.003,0,10,30,868
ZVB,madagascar,Madagascar,181,1002,21.31,11.5,2.46,854.1,104.7,15,11.5,18,0.001,0,10,10,801
BZM,madagascar,Madagascar,181,1003,25.55,12.11,2.63,526.9,104.5,8,11.2,22,0.8,0,10,10,143
MKA,madagascar,Madagascar,181,1004,24.43,8.82,2.3,531.6,113.3,8,6,17.5,0,0,10,10,111
TSP,madagascar,Madagascar,181,1005,25.32,9.38,2.51,392.1,101.2,6,5,12,0.587,0,20,20,8
AHL,madagascar,Madagascar,181,1006,21.07,9.32,2.59,2415.5,48,9,9,10,0,0,10,10,257
TGB,madagascar,Madagascar,181,1007,22.1,5.88,2.2,3739.6,38.9,1,4,18,0.057,0,10,10,101
AZH,madagascar,Madagascar,181,1008,23.65,4.5,2.09,2425.8,44.8,1,6.4,18,0,0,10,10,13
MKR1,madagascar_hierarchical,Madagascar,181,1009,20.76,5.85,2.32,3364.6,29.4,9,3.1,15.5,0,0,10,10,468
MKR2,madagascar_hierarchical,Madagascar,181,1010,19.06,5.9,2.3,3240.9,31.1,10,3,8,0,0,10,10,845
MKR3,madagascar_hierarchical,Madagascar,181,1011,19.34,6.1,2.31,3174.7,34.5,10,3,8,0,0,10,10,771
MKR4,madagascar_hierarchical,Madagascar,181,1012,18.66,6.08,2.32,3339.8,31.8,10,3,8.9,0,0,10,10,888
MKR5,madagascar_hierarchical,Madagascar,181,1013,20.33,5.9,2.32,3373.9,29.7,9,3,14.9,0,0,10,10,549
MKR6,madagascar_hierarchical,Madagascar,181,1014,19.97,5.88,2.32,3342.3,29.8,10,3,13.1,0,0,10,10,591
MKR7,madagascar_hierarchical,Madagascar,181,1015,20.54,5.83,2.33,3332.3,29.5,9,3,13.1,0,0,10,10,527
Bavarian-National-Forest_Natural,Natural,Bavarian-National-Forest,281,1061,6.17,7.78,6.91,1523.9,17.3,19,10,27.8,0.296,0.0712,10,10,861
Bavarian-National-Forest_Urban,Urban,Bavarian-National-Forest,281,1062,7.43,7.8,7.26,1329,17.5,19,40.5,42,17.847,7.6993,30,10,593
Latnjajaure,Nordic,Latnjajaure,321,1121,-2.93,4.99,7.36,1410.1,27.7,30,1,5,0.001,0,30,30,989
Robacksdalen,other,Robacksdalen,322,1122,3.75,4.85,7.77,762.4,28.7,20,30.2,54.6,0.491,26.2035,40,40,5
Lonnstorp,other,Lonnstorp,323,1123,8.15,6.4,6.2,688.4,20.8,10,42.7,54.8,1.454,5.2175,40,40,13
Mozambique_Natural,Natural,Mozambique,341,1141,24.85,9.3,2.2,1396.6,88.8,4,4,14,0,0,20,10,47
Mozambique_Urban,Urban,Mozambique,341,1142,24.56,9.6,2.29,1170.5,92.8,4,15,19.1,69.152,2.0142,10,60,198
RioDeJaneiro_Natural,Natural,RioDeJaneiro,342,1143,16.31,7.9,2.18,2405.8,64.2,10,10,15.8,0.02,0,10,10,1380
RioDeJaneiro_Urban,Urban,RioDeJaneiro,342,1144,18.72,7.9,2.19,2452.1,63,10,3,14.3,0.463,0.4955,10,10,882
Natal_Urban,Urban,Natal,343,1146,25.75,2.84,0.69,1532.5,67.3,4,32.3,38.6,2.747,16.8858,10,10,72
Natal_Natural,Natural,Natal,343,1145,25.96,4.59,0.82,1270.6,65.2,4,8.4,31.2,0.048,1.9786,50,10,56
Faroe_Natural,Natural,Faroe,344,1161,6.93,1.71,2.08,1813.6,33.6,11,7,18,0.023,0,30,30,52
Faroe_Urban,Urban,Faroe,344,1162,6.84,2.07,2.22,2034.2,31.4,11,30.8,38,14.25,12.2345,30,30,32
SaoTomePrincipe_Natural,Natural,SaoTomePrincipe,361,645,24.68,1.3,1.05,1691.1,57.6,4,7,18,0,0,NA,NA,NA
SaoTomePrincipe_Urban,Urban,SaoTomePrincipe,361,1181,24.6,1.3,1,1369.6,57.2,4,14.9,22,1.541,0.1878,10,10,324
NEGreenland,Natural,NEGreenland,381,1201,-10.73,3.5,8.74,362.2,34.6,30,0,4,0,NA,90,90,35
Egerton_Natural,Natural,Egerton,382,1202,18.98,10.93,0.95,867.7,35.7,13,8.4,14,0,0,30,10,1777
Egerton_Urban,Urban,Egerton,382,1203,16.37,10.8,1.02,1122.4,37.5,13,16.5,30.1,14.154,7.1662,30,10,2242
NyAlesund,Natural,NyAlesund,421,1321,-5.5,3.23,5.89,604.8,31.3,30,0,4,0,NA,100,90,26
