Name;Station;Time(norwegian mean time);Snow depth
Ny-ålesund;SN99910;19.05.2009;51
Ny-ålesund;SN99910;20.05.2009;51
Ny-ålesund;SN99910;21.05.2009;50
Ny-ålesund;SN99910;22.05.2009;50
Ny-ålesund;SN99910;23.05.2009;50
Ny-ålesund;SN99910;24.05.2009;50
Ny-ålesund;SN99910;25.05.2009;50
Ny-ålesund;SN99910;26.05.2009;50
Ny-ålesund;SN99910;27.05.2009;52
Ny-ålesund;SN99910;28.05.2009;60
Ny-ålesund;SN99910;29.05.2009;55
Ny-ålesund;SN99910;30.05.2009;54
Ny-ålesund;SN99910;31.05.2009;52
Ny-ålesund;SN99910;01.06.2009;50
Ny-ålesund;SN99910;02.06.2009;51
Ny-ålesund;SN99910;03.06.2009;51
Ny-ålesund;SN99910;04.06.2009;50
Ny-ålesund;SN99910;05.06.2009;51
Ny-ålesund;SN99910;06.06.2009;51
Ny-ålesund;SN99910;07.06.2009;51
Ny-ålesund;SN99910;08.06.2009;51
Ny-ålesund;SN99910;09.06.2009;51
Ny-ålesund;SN99910;10.06.2009;40
Ny-ålesund;SN99910;11.06.2009;43
Ny-ålesund;SN99910;12.06.2009;41
Ny-ålesund;SN99910;13.06.2009;28
Ny-ålesund;SN99910;14.06.2009;21
Ny-ålesund;SN99910;15.06.2009;18
Ny-ålesund;SN99910;16.06.2009;10
Ny-ålesund;SN99910;17.06.2009;9
Ny-ålesund;SN99910;18.06.2009;8
Ny-ålesund;SN99910;19.06.2009;8
Ny-ålesund;SN99910;20.06.2009;5
Ny-ålesund;SN99910;21.06.2009;5
Ny-ålesund;SN99910;22.06.2009;2
Ny-ålesund;SN99910;23.06.2009;2
Ny-ålesund;SN99910;24.06.2009;2
Ny-ålesund;SN99910;25.06.2009;2
Ny-ålesund;SN99910;26.06.2009;0
Ny-ålesund;SN99910;27.06.2009;0
Ny-ålesund;SN99910;28.06.2009;0
Ny-ålesund;SN99910;29.06.2009;0
Ny-ålesund;SN99910;30.06.2009;0
Ny-ålesund;SN99910;01.07.2009;0
Ny-ålesund;SN99910;02.07.2009;0
Ny-ålesund;SN99910;03.07.2009;0
Ny-ålesund;SN99910;04.07.2009;0
Ny-ålesund;SN99910;05.07.2009;0
Ny-ålesund;SN99910;06.07.2009;0
Ny-ålesund;SN99910;07.07.2009;0
Ny-ålesund;SN99910;08.07.2009;0
Ny-ålesund;SN99910;09.07.2009;0
Ny-ålesund;SN99910;10.07.2009;0
Ny-ålesund;SN99910;11.07.2009;0
Ny-ålesund;SN99910;12.07.2009;0
